Locus_tag;Old_locus_tag;Gene_name;Gene_product;Old_gene_product;Protein_ID;Old_protein_ID
EDL933_RS16385;NA;NA;ABC transporter substrate-binding protein;ABC transporter, periplasmic substrate-binding protein;WP_001301507.1;AIG69510.1
EDL933_RS16455;NA;NA;hypothetical protein;NA;WP_001303596.1;NA
EDL933_RS16540;NA;NA;hypothetical protein;hypothetical protein;WP_001301465.1;AIG69540.1
EDL933_RS16585;NA;NA;hypothetical protein;hypothetical protein;WP_001300061.1;AIG69548.1
EDL933_RS16605;Z3478;NA;hypothetical protein;hypothetical protein;WP_001225855.1;AIG69552.1
EDL933_RS16610;NA;NA;hypothetical protein;NA;NA;NA
EDL933_RS16615;Z3481;NA;hypothetical protein;Putative membrane protein;WP_000536590.1;AIG69553.1
EDL933_RS16620;NA;NA;hypothetical protein;hypothetical protein;WP_001295211.1;AIG69554.1
EDL933_RS16625;NA;NA;DUF2138 domain-containing protein;hypothetical protein;WP_042355394.1;AIG69555.1
EDL933_RS16670;Z3494;NA;MFS transporter;Putative permease;WP_000660231.1;AIG69563.1
EDL933_RS16675;Z3495;NA;transcriptional regulator;LysR family transcriptional regulator;WP_000176738.1;AIG69564.1
EDL933_RS16680;Z3496;NA;hypothetical protein;hypothetical protein;WP_001301786.1;AIG69566.1
EDL933_RS16715;Z3503;NA;2-keto-3-deoxy-L-rhamnonate aldolase;2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase;WP_027868265.1;AIG69574.1
EDL933_RS16720;Z3504;NA;MFS transporter;L-rhamnonate transporter (predicted by chromosomal context);WP_001302964.1;AIG69575.1
EDL933_RS16725;Z3505;NA;L-rhamnonate dehydratase;L-rhamnonate dehydratase;WP_000174589.1;AIG69576.1
EDL933_RS16730;Z3506;NA;IclR family transcriptional regulator;Transcriptional regulator, IclR family;WP_000894166.1;AIG69577.1
EDL933_RS16740;Z3508;NA;membrane protein;Uncharacterized protein YfaZ precursor;WP_001301623.1;AIG69579.1
EDL933_RS16755;NA;NA;UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase;UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase;WP_001303599.1;AIG69582.1
EDL933_RS16760;Z3512;NA;undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase;Polymyxin resistance protein ArnC, glycosyl transferase;WP_000461646.1;AIG69583.1
EDL933_RS16765;Z3513;NA;bifunctional UDP-glucuronic acid oxidase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase;Polymyxin resistance protein ArnA_DH, UDP-glucuronic acid decarboxylase;WP_000860282.1;AIG69584.1
EDL933_RS16775;Z3515;NA;4-amino-4-deoxy-L-arabinose lipid A transferase;Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase;WP_000844063.1;AIG69586.1
EDL933_RS16820;NA;NA;menaquinone-specific isochorismate synthase;Menaquinone-specific isochorismate synthase;WP_001191386.1;AIG69595.1
EDL933_RS16835;NA;NA;ribonuclease Z;Ribonuclease Z;WP_001303086.1;AIG69598.1
EDL933_RS16855;NA;NA;NADH-quinone oxidoreductase subunit N;NADH-ubiquinone oxidoreductase chain N;WP_000156701.1;AIG69603.1
EDL933_RS16925;Z3551;NA;aminotransferase;Alanine transaminase;WP_000074525.1;AIG69618.1
EDL933_RS16945;NA;NA;hypothetical protein;hypothetical protein;WP_000426124.1;AIG69622.1
EDL933_RS16950;Z3556;NA;hypothetical protein;hypothetical protein;WP_000106627.1;AIG69623.1
EDL933_RS16955;NA;NA;hypothetical protein;hypothetical protein;WP_001115612.1;AIG69624.1
EDL933_RS16970;NA;NA;hypothetical protein;Putative S-transferase;WP_001274512.1;AIG69627.1
EDL933_RS17090;Z3585;NA;MFS transporter;Transporter, putative;WP_000127753.1;AIG69653.1
EDL933_RS17100;NA;NA;bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC;tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase;WP_000683769.1;AIG69655.1
EDL933_RS17105;Z3588;NA;hypothetical protein;hypothetical protein;WP_000559764.1;AIG69657.1
EDL933_RS17110;Z3589;NA;elongation factor P hydroxylase;Putative transporting ATPase;WP_001089225.1;AIG69658.1
EDL933_RS17180;Z3604;NA;fatty acid oxidation complex subunit alpha;Enoyl-CoA hydratase;WP_000426148.1;AIG69673.1
EDL933_RS17190;Z3606;NA;hypothetical protein;hypothetical protein;WP_000030901.1;AIG69675.1
EDL933_RS17200;Z3609;NA;hypothetical protein;hypothetical protein;WP_000952959.1;AIG69677.1
EDL933_RS17225;Z3614;NA;acyltransferase;Phage DNA transfer protein;WP_000257010.1;AIG69684.1
EDL933_RS17230;Z3615;NA;DNA transfer protein;Phage DNA transfer protein;WP_000960724.1;AIG69685.1
EDL933_RS17235;Z3616;NA;hypothetical protein;hypothetical protein;WP_000403517.1;AIG69686.1
EDL933_RS17240;Z3617;NA;hypothetical protein;DNA stabilization, phage-associated;WP_001005794.1;AIG69687.1
EDL933_RS17245;Z3618;NA;replication protein;putativa replication protein;WP_000454649.1;AIG69688.1
EDL933_RS17250;Z3620;NA;hypothetical protein;hypothetical protein;WP_000119352.1;AIG69689.1
EDL933_RS17255;Z3621;NA;hypothetical protein;hypothetical protein;WP_000409798.1;AIG69690.1
EDL933_RS17260;NA;NA;resolvase;NA;WP_001102876.1;NA
EDL933_RS17265;NA;NA;hypothetical protein;NA;WP_001329035.1;NA
EDL933_RS17270;NA;NA;MFS transporter;Sucrose permease, major facilitator superfamily;WP_001197016.1;AIG69692.1
EDL933_RS17275;Z3624;NA;aminoimidazole riboside kinase;Fructokinase;WP_001274894.1;AIG69693.1
EDL933_RS17280;Z3625;NA;glycosyl hydrolase family 32;Sucrose-6-phosphate hydrolase;WP_000194527.1;AIG69695.1
EDL933_RS17285;Z3626;NA;sucrose operon repressor;Sucrose specific transcriptional regulator CscR, LacI family;WP_001301925.1;AIG69696.1
EDL933_RS17320;NA;NA;CoA:oxalate CoA-transferase;NA;NA;NA
EDL933_RS17330;Z3635;NA;transporter;putative receptor protein;WP_000955028.1;AIG69703.1
EDL933_RS17335;Z3637;NA;oxalyl-CoA decarboxylase;Oxalyl-CoA decarboxylase;WP_001283490.1;AIG69704.1
EDL933_RS17340;Z3639;NA;formyl-CoA--oxalate CoA-transferase;Formyl-coenzyme A transferase;WP_000106757.1;AIG69705.1
EDL933_RS17345;Z3640;NA;hypothetical protein;hypothetical protein;WP_000825602.1;AIG69706.1
EDL933_RS17350;NA;NA;hypothetical protein;NA;WP_000867641.1;NA
EDL933_RS17355;NA;NA;hypothetical protein;NA;WP_001450305.1;NA
EDL933_RS17360;Z3642;NA;hypothetical protein;hypothetical protein;WP_000499593.1;AIG69707.1
EDL933_RS17365;NA;NA;lipid A biosynthesis palmitoleoyltransferase;Lipid A biosynthesis lauroyl acyltransferase;WP_000484404.1;AIG69708.1
EDL933_RS17390;Z3648;NA;multiphosphoryl transfer protein;Phosphoenolpyruvate-protein phosphotransferase of PTS system;WP_000955897.1;AIG69714.1
EDL933_RS17395;Z3649;NA;exoaminopeptidase;Nondeblocking aminopeptidase YpdE (X-X-[^PR]- specific);WP_000366040.1;AIG69715.1
EDL933_RS17400;Z3651;NA;aminopeptidase;Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific);WP_000173224.1;AIG69716.1
EDL933_RS17405;Z3652;NA;fructose-like permease IIC component;PTS system, fructose-specific IIBC component;WP_000985336.1;AIG69717.1
EDL933_RS17420;Z3655;NA;ion channel protein;Chloride channel protein;WP_000903148.1;AIG69720.1
EDL933_RS17425;Z3656;NA;hypothetical protein;hypothetical protein;WP_000490072.1;AIG69721.1
EDL933_RS17465;Z3664;NA;transposase;putative virulence protein;WP_000826440.1;AIG69727.1
EDL933_RS17470;Z5815;NA;transposase;Transposase;WP_001301464.1;AIG69728.1
EDL933_RS17520;Z3676;NA;DUF3820 domain-containing protein;Putative cytoplasmic protein;WP_000410201.1;AIG69733.1
EDL933_RS17595;NA;NA;NAD(P)-dependent oxidoreductase;3-oxoacyl-[acyl-carrier protein] reductase;WP_000517430.1;AIG69749.1
EDL933_RS17610;Z3694;NA;PTS N-acetylmuramic acid EIIBC component;PTS system, N-acetylmuramic acid-specific IIB component;WP_001040450.1;AIG69752.1
EDL933_RS17615;NA;NA;penicillin binding protein PBP4B;Beta-lactamase class C protein;WP_001302015.1;AIG69753.1
EDL933_RS17630;NA;NA;membrane protein;NA;WP_000842944.1;NA
EDL933_RS17715;Z3715;NA;ethanolamine utilization cobalamin adenosyltransferase;ATP:Cob(I)alamin adenosyltransferase, ethanolamine utilization;WP_000651286.1;AIG69773.1
EDL933_RS17735;Z3719;NA;malate dehydrogenase;NADP-dependent malic enzyme;WP_000342643.1;AIG69777.1
EDL933_RS17750;Z3722;NA;hypothetical protein;Putative exported protein;WP_001270517.1;AIG69780.1
EDL933_RS17775;NA;NA;hypothetical protein;NA;WP_002430704.1;NA
EDL933_RS17790;Z3731;NA;membrane protein;Putative inner membrane protein;WP_000383836.1;AIG69787.1
EDL933_RS17795;NA;NA;esterase;Phospholipase/carboxylesterase family protein;WP_000679812.1;AIG69788.1
EDL933_RS17805;Z3734;NA;neutral zinc metallopeptidase;YpfJ protein, zinc metalloprotease superfamily;WP_001267498.1;AIG69790.1
EDL933_RS17815;NA;NA;hypothetical protein;NA;WP_001349976.1;NA
EDL933_RS17905;Z3757;NA;beta-barrel assembly-enhancing protease;Exported zinc metalloprotease YfgC precursor;WP_000489651.1;AIG69809.1
EDL933_RS17910;Z3758;NA;oxidoreductase;Arsenate reductase;WP_000166449.1;AIG69810.1
EDL933_RS17925;NA;NA;uracil phosphoribosyltransferase;Uracil phosphoribosyltransferase;WP_001295473.1;AIG69813.1
EDL933_RS17950;Z3766;NA;sensor domain-containing phosphodiesterase;Putative cytochrome C-type biogenesis protein;WP_000772746.1;AIG69819.1
EDL933_RS17955;Z3767;NA;hypothetical protein;hypothetical protein;WP_000017561.1;AIG69820.1
EDL933_RS17960;Z3768;NA;hypothetical protein;Putative inner membrane protein;WP_000076001.1;AIG69821.1
EDL933_RS17970;Z3770;NA;hypothetical protein;Putative membrane protein;WP_000755178.1;AIG69823.1
EDL933_RS18005;Z3776;NA;membrane protein;hypothetical protein;WP_000409195.1;AIG69830.1
EDL933_RS18035;Z3782;NA;polyferredoxin;Putative polyferredoxin;WP_000948584.1;AIG69836.1
EDL933_RS18040;Z3783;NA;dimethyl sulfoxide reductase subunit C;Anaerobic dimethyl sulfoxide reductase chain C;WP_000544905.1;AIG69837.1
EDL933_RS18045;Z3784;NA;dimethylsulfoxide reductase, chain B;Anaerobic dimethyl sulfoxide reductase chain B;WP_000077290.1;AIG69838.1
EDL933_RS18050;Z3785;NA;dimethyl sulfoxide reductase subunit A;Anaerobic dimethyl sulfoxide reductase chain A;WP_000380694.1;AIG69839.1
EDL933_RS18060;Z3787;NA;hypothetical protein;Alpha-2-macroglobulin;WP_000736260.1;AIG69841.1
EDL933_RS18065;NA;NA;sulfurtransferase;Thiosulfate sulfurtransferase, rhodanese;WP_000108625.1;AIG69842.1
EDL933_RS18075;NA;NA;peptidase B;Peptidase B;WP_000133587.1;AIG69845.1
EDL933_RS18100;NA;NA;iron-binding protein;NA;WP_000028953.1;NA
EDL933_RS18125;NA;NA;inositol monophosphatase;Inositol-1-monophosphatase;WP_000553451.1;AIG69856.1
EDL933_RS18160;NA;NA;3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit;NA;WP_001080102.1;NA
EDL933_RS18185;NA;NA;alcohol dehydrogenase;NA;NA;NA
EDL933_RS18260;NA;NA;phosphatidylglycerophosphatase C;Hypothetical protein, phosphoserine phosphatase like protein;WP_000190651.1;AIG69885.1
EDL933_RS18265;NA;NA;transcriptional regulator;Sialic acid utilization regulator, RpiR family;WP_001013779.1;AIG69886.1
EDL933_RS18280;NA;NA;hypothetical protein;NA;WP_001305241.1;NA
EDL933_RS18340;NA;NA;hypothetical protein;NA;WP_001303621.1;NA
EDL933_RS18385;NA;NA;hypothetical protein;NA;WP_000902363.1;NA
EDL933_RS18415;NA;NA;MFS transporter;NA;WP_000852126.1;NA
EDL933_RS18460;NA;NA;hypothetical protein;NA;WP_001303622.1;NA
EDL933_RS18490;Z3897;NA;hypothetical protein;Uncharacterized protein YfiR precursor;WP_001212391.1;AIG69924.1
EDL933_RS18500;NA;NA;hypothetical protein;NA;WP_000589827.1;NA
EDL933_RS18535;Z3906m;NA;membrane protein;Hemolysin with CBS domain;WP_001411890.1;AIG69933.1
EDL933_RS18580;NA;NA;bfpT-regulated chaperone;NA;WP_001132157.1;NA
EDL933_RS18585;NA;NA;hypothetical protein;NA;WP_001144077.1;NA
EDL933_RS18590;Z3920;NA;hypothetical protein;Phage or Prophage like protein;WP_001301665.1;AIG69946.1
EDL933_RS18605;NA;NA;transposase;Transposase;WP_000165061.1;AIG69949.1
EDL933_RS18610;NA;NA;transposase;Transposase;WP_001302479.1;AIG69950.1
EDL933_RS18615;NA;NA;hypothetical protein;Transposase;WP_038426281.1;AIG69951.1
EDL933_RS18620;NA;NA;transposase;Transposase;WP_001302479.1;AIG69952.1
EDL933_RS18630;NA;NA;transposase;Transposase;WP_000612591.1;AIG69953.1
EDL933_RS18635;NA;NA;transposase;NA;WP_001171554.1;NA
EDL933_RS18645;NA;NA;hypothetical protein;Phage protein;WP_000731241.1;AIG69956.1
EDL933_RS18650;NA;NA;holin;Phage lysis protein S;WP_000284517.1;AIG69957.1
EDL933_RS18655;NA;NA;9-O-acetyl-N-acetylneuraminic acid deacetylase;Hypothetical protein;WP_000143065.1;AIG69958.1
EDL933_RS18665;Z3931;NA;hypothetical protein;Phage protein;WP_001299184.1;AIG69960.1
EDL933_RS18670;Z3932;NA;antitermination protein;Phage antitermination protein Q;WP_001235472.1;AIG69962.1
EDL933_RS18675;Z3933;NA;serine/threonine protein phosphatase;Serine/threonine protein phosphatase;WP_001028854.1;AIG69963.1
EDL933_RS18685;NA;NA;endonuclease;NA;WP_001108081.1;NA
EDL933_RS18700;Z3939;NA;hypothetical protein;hypothetical protein;WP_000150580.1;AIG69967.1
EDL933_RS18705;Z3940;NA;hypothetical protein;hypothetical protein;WP_000361847.1;AIG69968.1
EDL933_RS18710;NA;NA;hypothetical protein;NA;WP_001052051.1;NA
EDL933_RS18715;Z3942;NA;DNA-binding protein;hypothetical protein;WP_001059531.1;AIG69970.1
EDL933_RS18720;Z3943;NA;integrase;putative enzyme;WP_000428092.1;AIG69971.1
EDL933_RS18725;Z3945;NA;recombinase;putative site specific recombinase;WP_000540864.1;AIG69972.1
EDL933_RS18730;NA;NA;DNA-binding protein;NA;WP_001071599.1;NA
EDL933_RS18735;Z3947;NA;hypothetical protein;hypothetical protein;WP_000800629.1;AIG69973.1
EDL933_RS18750;Z3950;NA;hypothetical protein;hypothetical protein;WP_000906744.1;AIG69977.1
EDL933_RS18765;NA;NA;alpha-amylase;NA;WP_000491420.1;NA
EDL933_RS18770;NA;NA;hypothetical protein;NA;WP_001304065.1;NA
EDL933_RS18810;Z3965;NA;proteolipid membrane potential modulator;hypothetical protein;WP_000508177.1;AIG69986.1
EDL933_RS18815;Z3966;NA;transcriptional regulator;Transcriptional regulator, ArsR family;WP_000138003.1;AIG69987.1
EDL933_RS18830;Z3970;NA;L-alanine exporter AlaE;Putative inner membrane protein;WP_000492656.1;AIG69991.1
EDL933_RS18845;Z3973;NA;DNA-binding transcriptional regulator;Transcriptional regulator, GntR family;WP_001138451.1;AIG69994.1
EDL933_RS18850;Z3974;NA;carboxymuconolactone decarboxylase family protein;4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein;WP_000209792.1;AIG69995.1
EDL933_RS18890;Z3982;NA;MFS transporter;MFS permease protein;WP_000165714.1;AIG70004.1
EDL933_RS18895;Z3983;NA;branched-chain amino acid ABC transporter permease;hypothetical protein;WP_000445658.1;AIG70005.1
EDL933_RS18930;Z3990;NA;membrane protein;Putative membrane protein;WP_001287450.1;AIG70013.1
EDL933_RS18980;Z4000;NA;hypothetical protein;hypothetical protein;WP_001297217.1;AIG70018.1
EDL933_RS19045;Z4018;NA;anaerobic nitric oxide reductase flavorubredoxin;Anaerobic nitric oxide reductase flavorubredoxin;WP_000029603.1;AIG70034.1
EDL933_RS19120;NA;NA;hypothetical protein;NA;WP_001303632.1;NA
EDL933_RS19175;Z4045;NA;hypothetical protein;Hydroxyaromatic non-oxidative decarboxylase protein D;WP_000562982.1;AIG70063.1
EDL933_RS19180;Z4046;NA;4-hydroxybenzoate decarboxylase;Hydroxyaromatic non-oxidative decarboxylase protein C;WP_000863205.1;AIG70064.1
EDL933_RS19185;Z4047;NA;aromatic acid decarboxylase;Hydroxyaromatic non-oxidative decarboxylase protein B;WP_000767724.1;AIG70065.1
EDL933_RS19195;NA;NA;RNA polymerase sigma factor RpoS;NA;NA;NA
EDL933_RS19340;NA;NA;electron transporter;NA;WP_001304056.1;NA
EDL933_RS19345;NA;NA;hypothetical protein;NA;WP_001017366.1;NA
EDL933_RS19355;NA;NA;MFS transporter;NA;NA;NA
EDL933_RS19360;Z4084;NA;FAD-linked oxidoreductase;putative FAD containing dehydrogenase;WP_000059304.1;AIG70102.1
EDL933_RS19400;Z4092;NA;membrane protein;hypothetical protein;WP_001217990.1;AIG70110.1
EDL933_RS19460;Z4105;NA;MFS transporter;D-glucarate permease;WP_000097069.1;AIG70123.1
EDL933_RS19465;Z4106;NA;flavodoxin;putative flavoprotein YqcA (clustered with tRNA pseudouridine synthase C);WP_000807753.1;AIG70126.1
EDL933_RS19475;Z4108;NA;hypothetical protein;Hypothetical protein YqcC (clustered with tRNA pseudouridine synthase C);WP_000206995.1;AIG70128.1
EDL933_RS19480;NA;NA;hypothetical protein;NA;WP_001303637.1;NA
EDL933_RS19640;NA;NA;hypothetical protein;hypothetical protein;WP_001078379.1;AIG70157.1
EDL933_RS19680;NA;NA;hypothetical protein;hypothetical protein;WP_001302236.1;AIG70165.1
EDL933_RS19690;Z4150;NA;membrane protein;membrane protein;WP_000895624.1;AIG70167.1
EDL933_RS19695;Z4151;NA;hypothetical protein;putative lipoprotein ygdR precursor;WP_000758655.1;AIG70168.1
EDL933_RS19700;Z4152;NA;NADP(H)-dependent aldo-keto reductase;Oxidoreductase, aldo/keto reductase family;WP_001199292.1;AIG70169.1
EDL933_RS19750;NA;NA;acetyl-CoA acetyltransferase;3-ketoacyl-CoA thiolase;WP_000656027.1;AIG70180.1
EDL933_RS19755;Z4165;NA;transporter;Serine transporter;WP_000065950.1;AIG70181.1
EDL933_RS19770;NA;NA;hypothetical protein;NA;WP_000584457.1;NA
EDL933_RS19775;NA;NA;hypothetical protein;NA;WP_000350591.1;NA
EDL933_RS19780;NA;NA;hypothetical protein;NA;WP_001301963.1;NA
EDL933_RS19785;Z4170;NA;hypothetical protein;hypothetical protein;WP_001301748.1;AIG70187.1
EDL933_RS19790;Z4171;NA;hypothetical protein;hypothetical protein;WP_000804528.1;AIG70188.1
EDL933_RS19800;NA;NA;hypothetical protein;NA;WP_001062242.1;NA
EDL933_RS19810;Z4174;NA;hypothetical protein;hypothetical protein;WP_000184089.1;AIG70192.1
EDL933_RS19825;Z4178;NA;hypothetical protein;hypothetical protein;WP_000606434.1;AIG70196.1
EDL933_RS19830;Z4179;NA;hypothetical protein;hypothetical protein;WP_001303642.1;AIG70197.1
EDL933_RS19840;Z4180;NA;EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein;Type III secretion bridge between inner and outermembrane lipoprotein (YscJ,HrcJ,EscJ, PscJ);WP_000875246.1;AIG70199.1
EDL933_RS19845;Z4181;NA;hypothetical protein;Putative Type III secretion apparatus protein;WP_000116719.1;AIG70200.1
EDL933_RS19855;NA;NA;type III secretion protein;NA;NA;NA
EDL933_RS19860;Z4184;NA;transcriptional regulator;Transcriptional regulator, ArsR family;WP_001195864.1;AIG70204.1
EDL933_RS19865;NA;NA;invasion protein;NA;WP_032101974.1;NA
EDL933_RS19880;NA;NA;EscT/YscT/HrcT family type III secretion system export apparatus protein;NA;NA;NA
EDL933_RS19890;NA;NA;EscR/YscR/HrcR family type III secretion system export apparatus protein;NA;WP_000071545.1;NA
EDL933_RS19900;NA;NA;type III secretion protein;NA;WP_001301737.1;NA
EDL933_RS19905;Z4192;NA;hypothetical protein;hypothetical protein;WP_000344657.1;AIG70209.1
EDL933_RS19925;Z4196;NA;type III secretion system protein;Type III secretion outermembrane contact sensing protein (YopN,Yop4b,LcrE);WP_000974434.1;AIG70213.1
EDL933_RS19935;Z4198;NA;AraC family transcriptional regulator;Type III secretion thermoregulatory protein (LcrF,VirF,transcription regulation of virulence plasmid);WP_000568779.1;AIG70215.1
EDL933_RS19940;Z4199;NA;membrane protein;hypothetical protein;WP_001301699.1;AIG70216.1
EDL933_RS19975;Z4207;NA;xanthine dehydrogenase iron-sulfur-binding subunit;Xanthine dehydrogenase iron-sulfur subunit;WP_001016612.1;AIG70222.1
EDL933_RS20000;NA;NA;D-phenylhydantoinase;Dihydropyrimidinase;WP_001264452.1;AIG70227.1
EDL933_RS20030;NA;NA;chlorohydrolase/aminohydrolase;SsnA protein;WP_000906298.1;AIG70233.1
EDL933_RS20080;NA;NA;hypothetical protein;hypothetical protein;WP_001010156.1;AIG70242.1
EDL933_RS20085;Z4227;NA;isopentenyl-diphosphate Delta-isomerase;Isopentenyl-diphosphate delta-isomerase;WP_001192814.1;AIG70243.1
EDL933_RS20120;Z4234;NA;membrane protein;hypothetical protein;WP_000244781.1;AIG70251.1
EDL933_RS20135;Z4237;NA;hemolysin III family protein;putative membrane protein hemolysin III-like protein;WP_000250274.1;AIG70255.1
EDL933_RS20180;NA;NA;hypothetical protein;Putative conserved exported protein precursor;WP_000930123.1;AIG70265.1
EDL933_RS20225;NA;NA;methylmalonyl-CoA decarboxylase;Methylmalonyl-CoA decarboxylase;WP_000122080.1;AIG70275.1
EDL933_RS20235;NA;NA;transcriptional regulator;NA;WP_001212188.1;NA
EDL933_RS20260;NA;NA;class II fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase class II;WP_000034372.1;AIG70282.1
EDL933_RS20275;Z4267;NA;DNA-binding protein;putative regulator of transporter operon;WP_000988700.1;AIG70285.1
EDL933_RS20280;Z4268;NA;transporter;Substrate-specific component of queuosine-regulated ECF transporter;WP_000124313.1;AIG70286.1
EDL933_RS20285;Z4269;NA;lipoprotein;Transmembrane component of energizing module of queuosine-regulated ECF transporter;WP_000553231.1;AIG70287.1
EDL933_RS20290;Z4270;NA;ABC transporter ATP-binding protein;ATPase component of energizing module of queuosine-regulated ECF transporter;WP_000256969.1;AIG70288.1
EDL933_RS20295;Z4271;NA;ABC transporter ATP-binding protein;ATPase component of energizing module of queuosine-regulated ECF transporter;WP_000956885.1;AIG70289.1
EDL933_RS20300;Z4273;NA;nucleoside/nucleotide kinase family protein;Uridine kinase family protein;WP_000687756.1;AIG70290.1
EDL933_RS20345;Z4282;NA;lipoprotein;hypothetical protein;WP_000758914.1;AIG70300.1
EDL933_RS20365;NA;NA;membrane protein;NA;WP_001303651.1;NA
EDL933_RS20390;NA;NA;ribosomal RNA small subunit methyltransferase E;Ribosomal RNA small subunit methyltransferase E;WP_001222509.1;AIG70310.1
EDL933_RS20425;NA;NA;YggU family protein;UPF0235 protein;WP_001277224.1;AIG70318.1
EDL933_RS20455;NA;NA;hypothetical protein;hypothetical protein;WP_001301555.1;AIG70324.1
EDL933_RS20510;Z4314;NA;IS66 family transposase;IS protein;NA;AIG70335.1
EDL933_RS20515;Z4315;NA;transposase;Transposase;WP_001301939.1;AIG70336.1
EDL933_RS20520;Z4316;NA;transposase;Transposase;WP_000631719.1;AIG70337.1
EDL933_RS20530;NA;NA;helicase;NA;WP_001415695.1;NA
EDL933_RS20535;NA;NA;virulence protein;NA;WP_000605048.1;NA
EDL933_RS20545;Z4322;NA;hypothetical protein;hypothetical protein;WP_000247601.1;AIG70340.1
EDL933_RS20550;NA;NA;hypothetical protein;NA;WP_001299196.1;NA
EDL933_RS20555;Z4324;NA;transposase;Transposase;WP_001411985.1;AIG70342.1
EDL933_RS20560;Z4325;NA;integrase;Phage integrase;WP_001345307.1;AIG70344.1
EDL933_RS20570;Z4326;NA;enterotoxin;Enterotoxin;WP_001121626.1;AIG70345.1
EDL933_RS20580;Z4329;NA;hypothetical protein;hypothetical protein;WP_000609742.1;AIG70348.1
EDL933_RS20585;Z4330;NA;IS630 family transposase;DDE endonuclease;WP_001167929.1;AIG70349.1
EDL933_RS20590;NA;NA;cytotoxin;NA;WP_001449202.1;NA
EDL933_RS20595;NA;NA;cytotoxin;NA;WP_000593845.1;NA
EDL933_RS20600;NA;NA;transposase;Transposase;WP_001302479.1;AIG70350.1
EDL933_RS20605;NA;NA;transposase;Transposase;WP_000165061.1;AIG70351.1
EDL933_RS20615;NA;NA;transposase;Transposase;WP_000612591.1;AIG70352.1
EDL933_RS20620;NA;NA;transposase;Transposase;WP_000998048.1;AIG70353.1
EDL933_RS20625;NA;NA;transposase;Transposase;NA;AIG70354.1
EDL933_RS20630;Z4338;NA;transposase;Transposase;WP_000624681.1;AIG70355.1
EDL933_RS20635;NA;NA;hypothetical protein;IS protein;WP_001303660.1;AIG70356.1
EDL933_RS20640;Z4340;NA;transposase;Transposase;WP_001303661.1;AIG70357.1
EDL933_RS20650;NA;NA;transposase;NA;WP_001036690.1;NA
EDL933_RS20665;Z4343;NA;thiol:disulfide oxidoreductase;putative GST-like protein yghU associated with glutathionylspermidine synthetase/amidase;WP_001295515.1;AIG70362.1
EDL933_RS20705;Z4351;NA;hydrogenase-2 small chain;Uptake hydrogenase small subunit precursor;WP_000145410.1;AIG70370.1
EDL933_RS20710;NA;NA;hypothetical protein;NA;WP_001303662.1;NA
EDL933_RS20715;Z4352;NA;hypothetical protein;hypothetical protein;WP_001059136.1;AIG70372.1
EDL933_RS20720;Z4353;NA;dienelactone hydrolase;Dienelactone hydrolase family;WP_001302757.1;AIG70373.1
EDL933_RS20725;Z4354;NA;glyceraldehyde 3-phosphate reductase;putative oxidoreductases (related to aryl-alcohol dehydrogenases);WP_000262146.1;AIG70374.1
EDL933_RS20750;NA;NA;hypothetical protein;NA;WP_024167679.1;NA
EDL933_RS20770;NA;NA;hypothetical protein;hypothetical protein;WP_001298764.1;AIG70383.1
EDL933_RS20780;NA;NA;2,5-diketo-D-gluconic acid reductase A;Methylglyoxal reductase, acetol producing;WP_000013136.1;AIG70385.1
EDL933_RS20800;Z4370;NA;YgiQ family radical SAM protein;putative Fe-S oxidoreductase family 2;WP_000095178.1;AIG70389.1
EDL933_RS20855;Z4381;NA;MurR/RpiR family transcriptional regulator;hypothetical protein;WP_000614950.1;AIG70400.1
EDL933_RS20865;Z4383;NA;iron ABC transporter;putative permease of ferrichrome ABC transporter;WP_000086851.1;AIG70402.1
EDL933_RS20870;Z4384;NA;heme ABC transporter;Putative iron compound permease protein of ABC transporter family;WP_000986441.1;AIG70403.1
EDL933_RS20875;Z4385;NA;ABC transporter;transport;WP_000940880.1;AIG70404.1
EDL933_RS20880;Z4386;NA;TonB-dependent receptor;Ferrichrome-iron receptor;WP_001051707.1;AIG70405.1
EDL933_RS20915;NA;NA;hypothetical protein;NA;WP_001303665.1;NA
EDL933_RS20920;NA;NA;membrane protein;putative lipoprotein;WP_000831543.1;AIG70412.1
EDL933_RS20940;Z4398;NA;DUF4051 domain-containing protein;hypothetical protein;WP_000469270.1;AIG70416.1
EDL933_RS20950;Z4400;NA;hypothetical protein;hypothetical protein;WP_001301561.1;AIG70418.1
